id;filename;type;title;author;year
1;1.pdf;paper;Discrimination between the ionic and osmotic components of salt stress in relation to free polyamine level in rice (Oryza sati6a);I. Lefevre, E. Gratia, S. Lutts;2001
2;2.pdf;other;ELEMENTS WITH MORE TOXIC EFFECTS;XXX;0000
3;3.pdf;paper;Fatality of salt stress to plants: Morphological,physiological and biochemical aspects;Khalid Nawaz1, Khalid Hussain, Abdul Majeed;2010
4;4.pdf;paper;The phenomenon of cross tolerance in osmotically and ionically adapted rice (Oryza sativa L.) cell lines;Azhar H. Shah, Safdar H. Shah1, Habib Ahmad;2012
5;5.pdf;paper;Ion Transporters and Abiotic Stress Tolerance in Plants;Faical Brini, Khaled Masmoudi;2012
6;6.pdf;paper;Response to Salinity in Rice: Comparative Effects of Osmotic and Ionic Stresses;Ernesto G. Castillo, To Phuc Tuong, Abdelbagi M. Ismail;2007
7;7.pdf;paper;Aluminum Toxicity and Tolerance in Plants;Emmanuel Delhaize, Peter R. Ryan;1995
8;8.pdf;paper;Mechanisms of Salinity Tolerance;Rana Munns, Mark Tester;2008
9;9.pdf;paper;Comparison of plant uptake and plant toxicity of various ions in wheat;D. M. Wheeler, I.L. Power;1994
10;10.pdf;paper;The effect of ionic stress on photosynthesis in Dunaliella tertiolecta;D.J. Gilmour, M.F. Hipkins, A.N. Webber;1985
11;11.pdf;paper;Effect of salt and osmotic stresses on germination in durum wheat (Triticum durum Desf.);M. Almansouri, J.M. Kinet, S. Lutts;2001
12;12.pdf;paper;Osmotic and Salt Stress-Induced Alteration in Soluble Carbohydrate Content in Wheat Seedlings;Ildiko Kerepesi, Gabor Galiba;2000
13;13.pdf;paper;Salt tolerance and salinity effects on plants: a review;Asish Kumar Parida, Anath Bandhu Das;2005
14;14.pdf;paper;Plant Salt Stress;Jian-Kang Zhu;2007
15;15.pdf;other;TOXICITY PROBLEMS;XXX;0000
16;16.pdf;paper;Ionic and osmotic components of salt stress specifically modulate net ion fluxes from bean leaf mesophyll;S. SHABALA;2000
17;17.pdf;paper;THE ANTAGONISM BETWEEN IONS IN THE ABSORPTION OF SALTS BY PLANTS;WALTER STILES, INGVAR JORGENSEN;1914
18;18.pdf;paper;Causes of salinity and plant manifestations to salt stress: A review;Sangeeta Yadav, Mohd. Irfan;2011
19;19.pdf;book;Plants for toxicity assesment;Gorsuch, Lower, Lewis, Wang;1991
20;20.pdf;other;Toxic chemicals hazard of irrigation water;XXX;0000
21;21.pdf;paper;Salt Stress Tolerance of Plants;Shuji Yokoi, Ray A. Bressan, Paul Mike Hasegawa;2002
22;22.pdf;paper;Salinity Stress and Salt Tolerance;Petronia Carillo, Maria Grazia Annunziata, Giovanni Pontecorvo;2011
23;23.pdf;paper;PLANT GROWTH AND DEVELOPMENT UNDER SALINITY STRESS;A. LAUCHLI AND S.R. GRATTAN;2007
24;24.pdf;paper;Modelling of soil salinity and halophyte crop production;E. Vermue, K. Metselaar, S.E.A.T.M. van der Zee;2013
25;25.pdf;paper;Evolution of halophytes: multiple origins of salt tolerance in land plants;Timothy J. Flowers, Hanaa K. Galal, Lindell Bromham;2010
26;26.pdf;paper;Mechanisms of Salinity Tolerance in Plants;JOHN M. CHEESEMAN;1988
27;27.pdf;paper;WATER TRANSPORT AS A CATENARY PROCESS;T. H. VAN DEN HONERT;1948
28;28.pdf;paper;Genes and salt tolerance: bringing them together;Rana Munns;2005
29;29.pdf;paper;Tolerance of vegetable crops to salinity;M.C. Shannon, C.M. Grieve;1999
30;30.pdf;paper;Comparative physiology of salt and water stress;R. MUNNS;2002
31;31.pdf;paper;EFFECTS OF SALINITY AND SODICITY ON PLANT GROWTH;Leon Bernstein;1975
